Isolate_Id,PB2 Segment_Id,PB1 Segment_Id,PA Segment_Id,HA Segment_Id,NP Segment_Id,NA Segment_Id,MP Segment_Id,NS Segment_Id,HE Segment_Id,P3 Segment_Id,Isolate_Name,Subtype
EPI_ISL_14925112,EPI2168260|150524133621_PB2_2017,EPI2168261|150524133621_PB1_2017,EPI2168259|150524133621_PA_2017,EPI2168263|150524133621_HA_2017,EPI2168256|150524133621_NP_2017,EPI2168262|150524133621_NA_2017,EPI2168258|150524133621_MP_2017,EPI2168257|150524133621_NS_2017,,,A/Michigan/UOM150524133621/2017,A / H3N2
EPI_ISL_14925131,EPI2168268|150524133622_PB2_2017,EPI2168269|150524133622_PB1_2017,EPI2168267|150524133622_PA_2017,EPI2168271|150524133622_HA_2017,EPI2168264|150524133622_NP_2017,EPI2168270|150524133622_NA_2017,EPI2168266|150524133622_MP_2017,EPI2168265|150524133622_NS_2017,,,A/Michigan/UOM150524133622/2017,A / H3N2
EPI_ISL_14925145,EPI2168276|150524133623_PB2_2017,EPI2168277|150524133623_PB1_2017,EPI2168275|150524133623_PA_2017,EPI2168279|150524133623_HA_2017,EPI2168272|150524133623_NP_2017,EPI2168278|150524133623_NA_2017,EPI2168274|150524133623_MP_2017,EPI2168273|150524133623_NS_2017,,,A/Michigan/UOM150524133623/2017,A / H3N2
EPI_ISL_14925146,EPI2168284|150524133624_PB2_2017,EPI2168285|150524133624_PB1_2017,EPI2168283|150524133624_PA_2017,EPI2168287|150524133624_HA_2017,EPI2168280|150524133624_NP_2017,EPI2168286|150524133624_NA_2017,EPI2168282|150524133624_MP_2017,EPI2168281|150524133624_NS_2017,,,A/Michigan/UOM150524133624/2017,A / H3N2
EPI_ISL_14925153,EPI2168292|150524133625_PB2_2017,EPI2168293|150524133625_PB1_2017,EPI2168291|150524133625_PA_2017,EPI2168295|150524133625_HA_2017,EPI2168288|150524133625_NP_2017,EPI2168294|150524133625_NA_2017,EPI2168290|150524133625_MP_2017,EPI2168289|150524133625_NS_2017,,,A/Michigan/UOM150524133625/2017,A / H3N2
EPI_ISL_14925173,EPI2168300|150524133626_PB2_2017,EPI2168301|150524133626_PB1_2017,EPI2168299|150524133626_PA_2017,EPI2168303|150524133626_HA_2017,EPI2168296|150524133626_NP_2017,EPI2168302|150524133626_NA_2017,EPI2168298|150524133626_MP_2017,EPI2168297|150524133626_NS_2017,,,A/Michigan/UOM150524133626/2017,A / H3N2
EPI_ISL_14925190,EPI2168308|150524133627_PB2_2017,EPI2168309|150524133627_PB1_2017,EPI2168307|150524133627_PA_2017,EPI2168311|150524133627_HA_2017,EPI2168304|150524133627_NP_2017,EPI2168310|150524133627_NA_2017,EPI2168306|150524133627_MP_2017,EPI2168305|150524133627_NS_2017,,,A/Michigan/UOM150524133627/2017,A / H3N2
EPI_ISL_14925207,EPI2168317|150524133628_PB2_2017,EPI2168318|150524133628_PB1_2017,EPI2168315|150524133628_PA_2017,EPI2168320|150524133628_HA_2017,EPI2168312|150524133628_NP_2017,EPI2168319|150524133628_NA_2017,EPI2168314|150524133628_MP_2017,EPI2168313|150524133628_NS_2017,,,A/Michigan/UOM150524133628/2017,A / H3N2
EPI_ISL_14925215,EPI2168325|150524133629_PB2_2017,EPI2168326|150524133629_PB1_2017,EPI2168324|150524133629_PA_2017,EPI2168328|150524133629_HA_2017,EPI2168321|150524133629_NP_2017,EPI2168327|150524133629_NA_2017,EPI2168323|150524133629_MP_2017,EPI2168322|150524133629_NS_2017,,,A/Michigan/UOM150524133629/2017,A / H3N2
EPI_ISL_14925216,EPI2168333|150524133630_PB2_2017,EPI2168335|150524133630_PB1_2017,EPI2168332|150524133630_PA_2017,EPI2168337|150524133630_HA_2017,EPI2168329|150524133630_NP_2017,EPI2168336|150524133630_NA_2017,EPI2168331|150524133630_MP_2017,EPI2168330|150524133630_NS_2017,,,A/Michigan/UOM150524133630/2017,A / H3N2
EPI_ISL_14925217,EPI2168342|150524133829_PB2_2017,EPI2168343|150524133829_PB1_2017,EPI2168341|150524133829_PA_2017,EPI2168345|150524133829_HA_2017,EPI2168338|150524133829_NP_2017,EPI2168344|150524133829_NA_2017,EPI2168340|150524133829_MP_2017,EPI2168339|150524133829_NS_2017,,,A/Michigan/UOM150524133829/2017,A / H3N2
EPI_ISL_14925223,EPI2168350|150524133631_PB2_2017,EPI2168352|150524133631_PB1_2017,EPI2168349|150524133631_PA_2017,EPI2168354|150524133631_HA_2017,EPI2168346|150524133631_NP_2017,EPI2168353|150524133631_NA_2017,EPI2168348|150524133631_MP_2017,EPI2168347|150524133631_NS_2017,,,A/Michigan/UOM150524133631/2017,A / H3N2
EPI_ISL_14925241,EPI2168359|150524133632_PB2_2017,EPI2168360|150524133632_PB1_2017,EPI2168358|150524133632_PA_2017,EPI2168362|150524133632_HA_2017,EPI2168355|150524133632_NP_2017,EPI2168361|150524133632_NA_2017,EPI2168357|150524133632_MP_2017,EPI2168356|150524133632_NS_2017,,,A/Michigan/UOM150524133632/2017,A / H3N2
EPI_ISL_14925244,EPI2168367|150524133633_PB2_2017,EPI2168368|150524133633_PB1_2017,EPI2168366|150524133633_PA_2017,EPI2168371|150524133633_HA_2017,EPI2168363|150524133633_NP_2017,EPI2168369|150524133633_NA_2017,EPI2168365|150524133633_MP_2017,EPI2168364|150524133633_NS_2017,,,A/Michigan/UOM150524133633/2017,A / H3N2
EPI_ISL_14925257,EPI2168376|150524133634_PB2_2017,EPI2168377|150524133634_PB1_2017,EPI2168375|150524133634_PA_2017,EPI2168379|150524133634_HA_2017,EPI2168372|150524133634_NP_2017,EPI2168378|150524133634_NA_2017,EPI2168374|150524133634_MP_2017,EPI2168373|150524133634_NS_2017,,,A/Michigan/UOM150524133634/2017,A / H3N2
EPI_ISL_14925274,EPI2168384|150524133636_PB2_2017,EPI2168385|150524133636_PB1_2017,EPI2168383|150524133636_PA_2017,EPI2168388|150524133636_HA_2017,EPI2168380|150524133636_NP_2017,EPI2168387|150524133636_NA_2017,EPI2168382|150524133636_MP_2017,EPI2168381|150524133636_NS_2017,,,A/Michigan/UOM150524133636/2017,A / H3N2
EPI_ISL_14925289,EPI2168393|150524133637_PB2_2017,EPI2168394|150524133637_PB1_2017,EPI2168392|150524133637_PA_2017,EPI2168396|150524133637_HA_2017,EPI2168389|150524133637_NP_2017,EPI2168395|150524133637_NA_2017,EPI2168391|150524133637_MP_2017,EPI2168390|150524133637_NS_2017,,,A/Michigan/UOM150524133637/2017,A / H3N2
EPI_ISL_14925292,EPI2168401|150524133638_PB2_2017,EPI2168402|150524133638_PB1_2017,EPI2168400|150524133638_PA_2017,EPI2168405|150524133638_HA_2017,EPI2168397|150524133638_NP_2017,EPI2168403|150524133638_NA_2017,EPI2168399|150524133638_MP_2017,EPI2168398|150524133638_NS_2017,,,A/Michigan/UOM150524133638/2017,A / H3N2
EPI_ISL_14925311,EPI2168410|150524133639_PB2_2017,EPI2168411|150524133639_PB1_2017,EPI2168409|150524133639_PA_2017,EPI2168413|150524133639_HA_2017,EPI2168406|150524133639_NP_2017,EPI2168412|150524133639_NA_2017,EPI2168408|150524133639_MP_2017,EPI2168407|150524133639_NS_2017,,,A/Michigan/UOM150524133639/2017,A / H3N2
EPI_ISL_14925315,EPI2168418|150524133640_PB2_2017,EPI2168419|150524133640_PB1_2017,EPI2168417|150524133640_PA_2017,EPI2168421|150524133640_HA_2017,EPI2168414|150524133640_NP_2017,EPI2168420|150524133640_NA_2017,EPI2168416|150524133640_MP_2017,EPI2168415|150524133640_NS_2017,,,A/Michigan/UOM150524133640/2017,A / H3N2
EPI_ISL_14925533,EPI2168426|150524133642_PB2_2017,EPI2168427|150524133642_PB1_2017,EPI2168425|150524133642_PA_2017,EPI2168429|150524133642_HA_2017,EPI2168422|150524133642_NP_2017,EPI2168428|150524133642_NA_2017,EPI2168424|150524133642_MP_2017,EPI2168423|150524133642_NS_2017,,,A/Michigan/UOM150524133642/2017,A / H3N2
EPI_ISL_14925534,EPI2168434|150524133641_PB2_2017,EPI2168435|150524133641_PB1_2017,EPI2168433|150524133641_PA_2017,EPI2168437|150524133641_HA_2017,EPI2168430|150524133641_NP_2017,EPI2168436|150524133641_NA_2017,EPI2168432|150524133641_MP_2017,EPI2168431|150524133641_NS_2017,,,A/Michigan/UOM150524133641/2017,A / H3N2
EPI_ISL_14925535,EPI2168442|150524133643_PB2_2017,EPI2168443|150524133643_PB1_2017,EPI2168441|150524133643_PA_2017,EPI2168445|150524133643_HA_2017,EPI2168438|150524133643_NP_2017,EPI2168444|150524133643_NA_2017,EPI2168440|150524133643_MP_2017,EPI2168439|150524133643_NS_2017,,,A/Michigan/UOM150524133643/2017,A / H3N2
EPI_ISL_14925536,EPI2168450|150524133645_PB2_2017,EPI2168451|150524133645_PB1_2017,EPI2168449|150524133645_PA_2017,EPI2168453|150524133645_HA_2017,EPI2168446|150524133645_NP_2017,EPI2168452|150524133645_NA_2017,EPI2168448|150524133645_MP_2017,EPI2168447|150524133645_NS_2017,,,A/Michigan/UOM150524133645/2017,A / H3N2
